link,heading,intent,entities
/hc/en-us/articles/115005863289-Change-your-name-or-avatar-photo,Change your name or avatar photo,account_basics, name/avatar photo
/hc/en-us/articles/205064622-Create-a-Todoist-account,Create a Todoist account,account_basics,create account
/hc/en-us/articles/205303341-Change-your-email-address,Change your email address, account_basics,email_adress
/hc/en-us/articles/205064482-Change-your-password,Change your password,account_basics,password
/hc/en-us/articles/360000281529-Subscribe-to-or-unsubscribe-from-Todoist-emails,Subscribe to or unsubscribe from Todoist emails,account_basics, subscribe/unsubscribe
/hc/en-us/articles/360000269065-Change-your-notifications-settings,Change your notifications settings,account_basics,notification_settings
/hc/en-us/articles/209204449-Change-languages,Change languages, account_basics, languages
/hc/en-us/articles/360000281429-Change-your-default-start-page,Change your default start page,account_basics,start page
/hc/en-us/articles/205064582-Log-in-to-Todoist,Log in to Todoist,account_basics,login
/hc/en-us/articles/203799832-Log-out-of-Todoist,Log out of Todoist, account_basics,logout
/hc/en-us/articles/212889385-Merge-Todoist-accounts,Merge Todoist accounts,account_basics, merge_accounts
/hc/en-us/articles/203799822-Delete-your-account,Delete your account,account_basics, delete account
/hc/en-us/articles/205144561-Use-Todoist-offline,Use Todoist offline,account_basics, offline mode
/hc/en-us/articles/207106825-Join-the-beta-testing-program,Join the beta testing program,account_basics,beta testing
/hc/en-us/articles/205064592-Todoist-s-limits-for-tasks-projects-files-and-more,"Todoist's limits for tasks, projects, files, and more",account_basics,limits;tasks;project;files
/hc/en-us/articles/203799842-System-requirements-for-Todoist,System requirements for Todoist,account_basics,system_requirements
