link,heading, intent, entities
/hc/en-us/articles/360011893339-Add-Emoji-in-Todoist,Add Emoji in Todoist, other, add emoji
/hc/en-us/articles/360011061079-Try-out-Todoist-Premium-for-free,Try out Todoist Premium for free, other, try premium
/hc/en-us/articles/360008608939-Dynamic-Add-Button,Dynamic Add Button, other, add button
/hc/en-us/articles/360007295739-Use-Todoist-on-Apple-Watch,Use Todoist on Apple Watch, other, todoist on apple watch
/hc/en-us/articles/360001356160-Todoist-Business-plan-changes-in-December-2018,Todoist Business plan changes in December 2018
/hc/en-us/articles/360001389039-Todoist-Premium-plan-changes-in-December-2018,Todoist Premium plan changes in December 2018
/hc/en-us/articles/360000307999-Refer-someone-to-Todoist,Refer someone to Todoist, other, refer someone
/hc/en-us/articles/360000249160-Forwarding-emails-to-Todoist,Forwarding emails to Todoist, other, forward email
/hc/en-us/articles/360000112240-Does-Todoist-have-a-Dark-Theme-,Does Todoist have a Dark Theme?, tasks, dark theme
/hc/en-us/articles/360000394949-How-to-use-search,How to use search, other, search use
/hc/en-us/articles/360000358065-Add-a-project-label-or-filter-to-favorites,"Add a project, label or filter to favorites", other, -----
/hc/en-us/articles/115005655165-Todoist-Reviews,Todoist Reviews, other, reviews
/hc/en-us/articles/205169851-Change-color-themes,Change color themes, other, change theme
/hc/en-us/articles/206432149-Blackberry-app,Blackberry app, other, blackberry app
/hc/en-us/articles/205989121-Enable-disable-smart-date-recognition,Enable/disable smart date recognition
/hc/en-us/articles/205064602-Printing-your-tasks-,Printing your tasks, other, print task
