link,heading, intent, entities
/hc/en-us/articles/205248832-Payment-methods,Payment methods, Payment, payment methods
/hc/en-us/articles/360002470480-Manage-your-billing-information-for-Todoist-Premium,Manage your billing information for Todoist Premium, payment, billing-information
/hc/en-us/articles/360000538729-Manage-your-billing-information-for-Todoist-Business,Manage your billing information for Todoist Business, payment, billing-information
/hc/en-us/articles/214272405-Get-an-invoice-for-Todoist-Premium,Get an invoice for Todoist Premium, payment, invoice for premium
/hc/en-us/articles/360000538629-Get-an-invoice-for-Todoist-Business,Get an invoice for Todoist Business,  payment, invoice for business
/hc/en-us/articles/360007666099-Todoist-Premium-via-the-App-Store,Todoist Premium via the App Store, payment, premium app store
/hc/en-us/articles/360007407780-Todoist-Premium-via-the-Microsoft-Store,Todoist Premium via the Microsoft Store, payment, premium microsoft store
/hc/en-us/articles/360007463039-Todoist-Premium-via-the-Google-Play-Store,Todoist Premium via the Google Play Store, payment, premium google play
/hc/en-us/articles/360003109399-Paying-by-Purchase-Order,Paying by Purchase Order, payment, purchase
/hc/en-us/articles/205226672-Discounted-pricing,Discounted pricing, payment, discontinued pricing,
/hc/en-us/articles/115005393349-Todoist-for-Nonprofits,Todoist for Nonprofits, payment, nonprofits
/hc/en-us/articles/115005804225-Todoist-for-Education,Todoist for Education, payment, education
/hc/en-us/articles/360007972439-Sales-tax-,Sales tax ,payment, sales tax
/hc/en-us/articles/360008216499-How-can-I-switch-my-billing-currency-,How can I switch my billing currency?, payment, switch billing currency
/hc/en-us/articles/360002491500-VAT-Exempt-Invoices-and-Payments,VAT-Exempt Invoices and Payments,
/hc/en-us/articles/360002522500-How-to-redeem-your-Todoist-Premium-promo-code,How to redeem your Todoist Premium promo code, payment, redeem promo code
/hc/en-us/articles/360000659320-Can-I-share-my-Todoist-Premium-subscription-with-my-family-,Can I share my Todoist Premium subscription with my family?
/hc/en-us/articles/360000677459-Can-I-turn-off-auto-renew-for-my-Business-subscription-,Can I turn off auto-renew for my Business subscription?
/hc/en-us/articles/360000670239-How-to-cancel-your-Premium-subscription,How to cancel your Premium subscription, payment, cancel premium
/hc/en-us/articles/360001164040-How-to-cancel-your-Business-subscription,How to cancel your Business subscription, payment, cancel business
/hc/en-us/articles/360000650540-How-can-I-get-a-refund-,How can I get a refund?, payment, refund information
/hc/en-us/articles/360001251260-How-to-manually-activate-your-App-Store-subscription-in-Todoist,How to manually activate your App Store subscription in Todoist, 
/hc/en-us/articles/205248812-Giving-Premium-as-a-gift-discontinued-,Giving Premium as a gift (discontinued), payment, premium gift
