link,heading, intent, entities
/hc/en-us/articles/360011333440-How-to-add-multiple-tasks-at-once,How to add multiple tasks at once, tasks, add multiple tasks
/hc/en-us/articles/360007288380-Manage-a-task-with-task-view,Manage a task with task view, tasks, manage tasks
/hc/en-us/articles/213254829-Set-due-dates-with-Smart-Schedule,Set due dates with Smart Schedule, tasks, due date SS
/hc/en-us/articles/360000636289-Set-a-recurring-due-date,Set a recurring due date, tasks, recurring
/hc/en-us/articles/360000419785-Edit-a-task,Edit a task, tasks, edit
/hc/en-us/articles/115001800469-Duplicate-one-or-more-tasks-,Duplicate one or more tasks , tasks, duplicate
/hc/en-us/articles/360001450039-Set-a-fixed-time-zone-or-floating-time-for-a-task,Set a fixed time zone or floating time for a task, tasks, set time
/hc/en-us/articles/211827469-Postpone-a-task,Postpone a task, tasks, postpone
/hc/en-us/articles/207388659-Select-and-manage-multiple-tasks,Select and manage multiple tasks, tasks, multiple tasks;manage/select
/hc/en-us/articles/360001265440-Copy-a-link-to-a-task,Copy a link to a task, tasks, copy;task link
/hc/en-us/articles/115000841125-Import-tasks-from-Wunderlist,Import tasks from Wunderlist, tasks, import from wunderlist
/hc/en-us/articles/360000748525-How-to-format-your-CSV-file-so-you-can-import-it-into-Todoist,How to format your CSV file so you can import it into Todoist, tasks, CSV
/hc/en-us/articles/360000423369-Complete-or-uncomplete-a-task,Complete or uncomplete a task, tasks, complete/uncomplete
/hc/en-us/articles/205847912-View-completed-tasks,View completed tasks, tasks, completed tasks
/hc/en-us/articles/360000139405-Delete-a-task,Delete a task, tasks, delete
